hours-per-week,education,income,count_hours-per-week_education_income
15,10th,>50K,1
75,10th,>50K,1
55,10th,>50K,1
44,10th,>50K,1
70,10th,>50K,1
47,10th,>50K,1
42,10th,>50K,1
90,10th,>50K,1
80,10th,>50K,1
43,10th,>50K,1
46,10th,>50K,1
22,10th,>50K,1
56,10th,>50K,1
65,10th,>50K,1
10,10th,>50K,1
68,10th,>50K,1
22,10th,<=50K,1
7,10th,<=50K,1
21,10th,<=50K,1
49,10th,<=50K,1
29,10th,<=50K,1
90,10th,<=50K,1
58,10th,<=50K,1
41,10th,<=50K,1
47,10th,<=50K,1
3,10th,<=50K,1
26,10th,<=50K,1
31,10th,<=50K,1
99,11th,>50K,1
20,11th,>50K,1
84,11th,>50K,1
55,11th,>50K,1
9,11th,>50K,1
75,11th,>50K,1
2,11th,>50K,1
59,11th,>50K,1
44,11th,>50K,1
43,11th,>50K,1
37,11th,>50K,1
32,11th,>50K,1
36,11th,>50K,1
76,11th,>50K,1
65,11th,>50K,1
29,11th,<=50K,1
33,11th,<=50K,1
54,11th,<=50K,1
51,11th,<=50K,1
41,11th,<=50K,1
1,11th,<=50K,1
90,11th,<=50K,1
88,11th,<=50K,1
31,11th,<=50K,1
2,11th,<=50K,1
55,12th,>50K,1
59,12th,>50K,1
56,12th,>50K,1
84,12th,>50K,1
4,12th,<=50K,1
11,12th,<=50K,1
47,12th,<=50K,1
34,12th,<=50K,1
22,12th,<=50K,1
9,12th,<=50K,1
70,12th,<=50K,1
75,12th,<=50K,1
39,12th,<=50K,1
51,12th,<=50K,1
33,12th,<=50K,1
27,12th,<=50K,1
54,12th,<=50K,1
28,12th,<=50K,1
56,12th,<=50K,1
53,12th,<=50K,1
46,12th,<=50K,1
23,12th,<=50K,1
14,12th,<=50K,1
98,12th,<=50K,1
99,12th,<=50K,1
84,12th,<=50K,1
55,1st-4th,>50K,1
60,1st-4th,>50K,1
56,1st-4th,>50K,1
50,1st-4th,>50K,1
67,1st-4th,>50K,1
10,1st-4th,<=50K,1
85,1st-4th,<=50K,1
4,1st-4th,<=50K,1
37,1st-4th,<=50K,1
16,1st-4th,<=50K,1
96,1st-4th,<=50K,1
22,1st-4th,<=50K,1
54,1st-4th,<=50K,1
5,1st-4th,<=50K,1
44,1st-4th,<=50K,1
54,5th-6th,>50K,1
10,5th-6th,>50K,1
44,5th-6th,>50K,1
45,5th-6th,>50K,1
55,5th-6th,>50K,1
30,5th-6th,>50K,1
67,5th-6th,>50K,1
99,5th-6th,<=50K,1
42,5th-6th,<=50K,1
14,5th-6th,<=50K,1
96,5th-6th,<=50K,1
4,5th-6th,<=50K,1
72,5th-6th,<=50K,1
33,5th-6th,<=50K,1
51,5th-6th,<=50K,1
3,5th-6th,<=50K,1
65,5th-6th,<=50K,1
19,5th-6th,<=50K,1
21,5th-6th,<=50K,1
49,5th-6th,<=50K,1
22,5th-6th,<=50K,1
59,5th-6th,<=50K,1
16,5th-6th,<=50K,1
34,5th-6th,<=50K,1
70,7th-8th,>50K,1
90,7th-8th,>50K,1
72,7th-8th,>50K,1
20,7th-8th,>50K,1
80,7th-8th,>50K,1
45,7th-8th,>50K,1
65,7th-8th,>50K,1
63,7th-8th,>50K,1
29,7th-8th,<=50K,1
27,7th-8th,<=50K,1
18,7th-8th,<=50K,1
78,7th-8th,<=50K,1
28,7th-8th,<=50K,1
58,7th-8th,<=50K,1
49,7th-8th,<=50K,1
66,7th-8th,<=50K,1
64,7th-8th,<=50K,1
85,7th-8th,<=50K,1
23,7th-8th,<=50K,1
91,7th-8th,<=50K,1
43,7th-8th,<=50K,1
54,7th-8th,<=50K,1
26,7th-8th,<=50K,1
65,7th-8th,<=50K,1
53,7th-8th,<=50K,1
32,9th,>50K,1
67,9th,>50K,1
41,9th,>50K,1
43,9th,>50K,1
25,9th,>50K,1
55,9th,>50K,1
37,9th,>50K,1
70,9th,>50K,1
58,9th,>50K,1
96,9th,<=50K,1
18,9th,<=50K,1
4,9th,<=50K,1
27,9th,<=50K,1
8,9th,<=50K,1
21,9th,<=50K,1
47,9th,<=50K,1
80,9th,<=50K,1
1,9th,<=50K,1
34,9th,<=50K,1
11,9th,<=50K,1
99,9th,<=50K,1
75,9th,<=50K,1
26,9th,<=50K,1
33,9th,<=50K,1
2,9th,<=50K,1
31,Assoc-acdm,>50K,1
12,Assoc-acdm,>50K,1
21,Assoc-acdm,>50K,1
33,Assoc-acdm,>50K,1
49,Assoc-acdm,>50K,1
13,Assoc-acdm,>50K,1
75,Assoc-acdm,>50K,1
54,Assoc-acdm,>50K,1
4,Assoc-acdm,>50K,1
52,Assoc-acdm,>50K,1
92,Assoc-acdm,<=50K,1
53,Assoc-acdm,<=50K,1
39,Assoc-acdm,<=50K,1
72,Assoc-acdm,<=50K,1
33,Assoc-acdm,<=50K,1
41,Assoc-acdm,<=50K,1
59,Assoc-acdm,<=50K,1
78,Assoc-acdm,<=50K,1
9,Assoc-acdm,<=50K,1
58,Assoc-acdm,<=50K,1
28,Assoc-acdm,<=50K,1
90,Assoc-acdm,<=50K,1
57,Assoc-acdm,<=50K,1
67,Assoc-acdm,<=50K,1
31,Assoc-acdm,<=50K,1
66,Assoc-acdm,<=50K,1
22,Assoc-acdm,<=50K,1
68,Assoc-acdm,<=50K,1
1,Assoc-acdm,<=50K,1
26,Assoc-acdm,<=50K,1
62,Assoc-acdm,<=50K,1
76,Assoc-voc,>50K,1
27,Assoc-voc,>50K,1
75,Assoc-voc,>50K,1
34,Assoc-voc,>50K,1
9,Assoc-voc,>50K,1
39,Assoc-voc,>50K,1
12,Assoc-voc,>50K,1
37,Assoc-voc,>50K,1
51,Assoc-voc,>50K,1
53,Assoc-voc,>50K,1
84,Assoc-voc,>50K,1
25,Assoc-voc,>50K,1
16,Assoc-voc,>50K,1
7,Assoc-voc,<=50K,1
34,Assoc-voc,<=50K,1
13,Assoc-voc,<=50K,1
47,Assoc-voc,<=50K,1
4,Assoc-voc,<=50K,1
88,Assoc-voc,<=50K,1
2,Assoc-voc,<=50K,1
62,Assoc-voc,<=50K,1
6,Assoc-voc,<=50K,1
14,Assoc-voc,<=50K,1
22,Assoc-voc,<=50K,1
57,Assoc-voc,<=50K,1
76,Assoc-voc,<=50K,1
3,Bachelors,>50K,1
